id,term,slug,definition,category,examples,related_terms,created_at,updated_at
1,Tariff,tariff,A tax imposed on goods when they are moved across a political boundary. Tariffs are typically charged by the importing country and paid by the importer.,Basics,"{""The United States imposed a 25% tariff on steel imports from several countries."",""Companies often factor in tariff costs when pricing their exported goods.""}","{duty,import-tax,customs-duty}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
2,Duty,duty,"A tax levied by a government on the import, export, or consumption of goods. In international trade, it primarily refers to import duties charged on goods imported into a country.",Basics,"{""The customs officer calculated the duty based on the declared value of the imported electronics."",""Many developing countries rely heavily on import duties for government revenue.""}","{tariff,import-tax,customs-duty}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
3,Customs Duty,customs-duty,"A specific type of tariff or tax imposed on goods when they are transported across international borders, typically collected by customs authorities of the importing country.",Basics,"{""The wine importer paid customs duties at the port of entry."",""Different customs duties apply to different categories of imported goods.""}","{tariff,duty,import-tax}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
4,Ad Valorem Tariff,ad-valorem-tariff,A tariff that is calculated as a percentage of the value of the imported goods. This is the most common type of tariff.,Types of Tariffs,"{""The country applies a 5% ad valorem tariff on imported automobiles."",""Ad valorem tariffs can lead to debates about the proper valuation of goods.""}","{tariff,specific-tariff,compound-tariff}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
5,Specific Tariff,specific-tariff,"A tariff that is charged as a fixed fee based on the weight, volume, or quantity of the imported goods, regardless of their value.",Types of Tariffs,"{""The government imposed a specific tariff of $2 per barrel of imported oil."",""Specific tariffs are easier to administer as they do not require valuation of goods.""}","{tariff,ad-valorem-tariff,compound-tariff}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
6,Compound Tariff,compound-tariff,"A tariff that combines both ad valorem and specific tariff elements, charging both a percentage of the value and a fixed amount per unit.",Types of Tariffs,"{""The compound tariff on imported shoes included both 10% of the value and $1 per pair."",""Compound tariffs provide multiple layers of protection for domestic industries.""}","{tariff,ad-valorem-tariff,specific-tariff}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
7,Most Favored Nation (MFN),most-favored-nation,A principle in international trade where countries agree to provide the same trading benefits to all trading partners that are members of the World Trade Organization.,Trade Agreements,"{""Under MFN rules, if a country grants a lower tariff rate to one WTO member, it must extend that same rate to all other members."",""MFN status forms the foundation of the multilateral trading system.""}","{wto,national-treatment,preferential-trade-agreement}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
8,World Trade Organization (WTO),wto,An international organization that regulates international trade between nations. It provides a framework for negotiating trade agreements and resolving disputes between members.,Organizations,"{""The WTO was established in 1995 and currently has 164 member countries."",""Countries can bring trade disputes to the WTO for resolution.""}","{most-favored-nation,gatt,trade-dispute}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
9,General Agreement on Tariffs and Trade (GATT),gatt,A multilateral agreement that regulated international trade from 1948 until it was replaced by the World Trade Organization in 1995. Many GATT principles were incorporated into the WTO.,Trade Agreements,"{""GATT helped reduce global tariff levels through multiple rounds of negotiations."",""The Uruguay Round of GATT negotiations led to the creation of the WTO.""}","{wto,trade-round,uruguay-round}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
10,Harmonized System (HS),harmonized-system,"An internationally standardized system of names and numbers to classify traded products, developed and maintained by the World Customs Organization.",Classification,"{""The HS code 1806.31 refers to filled chocolate bars."",""Importers must determine the correct HS code for their products to calculate applicable tariffs.""}","{hs-code,tariff-classification,world-customs-organization}",2025-04-13 00:04:28.581501,2025-04-13 00:04:28.581501
